date,customerID,productID,payment,amount,price,cost,category
2017-09-23,37480,25426,paypal,2,146.15,75.92,emergency
2017-04-11,6709,85702,cash,3,326.84,168.31,emergency
2017-01-12,30596,11138,cash,3,17.45,10.41,emergency
2017-07-22,91370,88698,cash,3,29.54,10.35,specialty
2017-01-10,20221,89266,cash,1,786.91,339.3,specialty
2017-07-08,73310,86205,credit card,3,284.07,132.35,emergency
2017-10-14,17358,51943,paypal,3,652.13,376.21,specialty
2017-08-09,60045,43446,paypal,1,879.47,-99,emergency
2017-01-30,88364,37269,cash,1,93.61,50.52,emergency
2017-05-29,89339,82560,paypal,1,658.88,330.44,emergency
2017-10-05,4965,86064,cash,1,589.82,185,emergency
2017-05-27,35461,86205,cash,3,284.07,132.35,emergency
2017-03-16,67570,8632,cash,1,561.63,270.51,emergency
2017-06-30,15149,43446,paypal,3,879.47,-99,emergency
2017-12-02,70943,18541,credit card,2,393.71,128.61,emergency
2017-06-14,20062,27578,credit card,3,458.31,269.8,emergency
2017-10-04,19698,86205,cash,2,284.07,132.35,emergency
2017-01-16,6073,81165,paypal,3,700.72,387.72,emergency
2017-01-17,35044,85702,credit card,3,326.84,168.31,emergency
2017-04-22,10857,85702,cash,2,326.84,168.31,emergency
2017-07-22,40625,18541,credit card,1,393.71,128.61,emergency
2017-04-22,76212,75775,cash,1,550.33,298.61,specialty
2017-11-14,37932,16224,credit card,1,85.77,36.61,specialty
2017-12-22,28150,51943,cash,2,652.13,376.21,specialty
2017-12-15,26276,29552,credit card,2,319.41,124.27,emergency
2017-11-11,57691,32738,paypal,1,343.38,105.14,emergency
2017-07-20,82849,70159,credit card,3,905.96,345.4,emergency
2017-01-11,35799,96506,cash,3,262.78,100.68,emergency
2017-08-09,18709,81136,credit card,2,45.9,23.98,emergency
2017-07-30,69961,40784,cash,1,125.79,47.53,specialty
2017-02-02,81020,51943,credit card,2,652.13,376.21,specialty
2017-08-09,62515,29656,cash,1,76.76,45.74,emergency
2017-09-17,27397,32738,credit card,2,343.38,105.14,emergency
2017-08-29,35010,81136,cash,3,45.9,23.98,emergency
2017-05-19,31767,91230,credit card,1,703.77,408.07,emergency
2017-10-25,80720,79954,cash,2,106.01,47.34,emergency
2017-06-01,30100,27410,paypal,1,240.23,84.42,specialty
2017-01-06,99306,60230,cash,3,237.78,96.54,specialty
2017-01-04,53396,34413,paypal,1,29.8,15.34,emergency
2017-03-20,35044,62077,cash,2,704.49,246.24,specialty
2017-08-06,22015,43446,cash,1,879.47,-99,emergency
2017-04-27,74970,13013,credit card,1,373.37,123.44,specialty
2017-05-28,69065,25031,credit card,1,548.78,226.66,emergency
2017-10-10,3746,28088,credit card,2,697.08,386.5,specialty
2017-11-19,57425,70159,cash,2,905.96,345.4,emergency
2017-10-12,23243,96001,paypal,3,635.86,320.37,specialty
2017-09-21,24857,9072,paypal,2,97.04,43.04,emergency
2017-04-29,31747,81136,cash,2,45.9,23.98,emergency
2017-02-01,72173,60230,credit card,3,237.78,96.54,specialty
2017-10-25,48713,42029,paypal,1,920.94,543.9,emergency
2017-08-01,92411,28440,credit card,3,415.08,214.57,emergency
2017-10-04,50789,47613,credit card,2,289.03,114.52,specialty
2017-08-24,92882,29552,cash,1,319.41,124.27,emergency
2017-02-15,32754,96506,cash,3,262.78,100.68,emergency
2017-05-05,32056,60230,paypal,2,237.78,96.54,specialty
2017-03-15,75106,60230,cash,1,237.78,96.54,specialty
2017-05-22,52991,91230,credit card,3,703.77,408.07,emergency
2017-04-13,44522,32310,credit card,3,451.42,139.76,emergency
2017-01-24,4698,99445,cash,1,74.29,28.26,specialty
2017-10-29,51385,15918,cash,2,175.76,87.34,specialty
2017-01-13,23857,16224,cash,2,85.77,36.61,specialty
2017-02-22,5511,37269,cash,1,93.61,50.52,emergency
2017-08-03,70252,8403,cash,2,560.74,234.89,emergency
2017-01-31,56078,10130,credit card,2,767.88,417.93,specialty
2017-09-27,9411,34082,cash,1,40.67,12.21,specialty
2017-10-11,32340,8632,credit card,1,561.63,270.51,emergency
2017-11-09,68328,40784,cash,2,125.79,47.53,specialty
2017-06-04,99925,60230,paypal,1,237.78,96.54,specialty
2017-04-20,59515,43446,paypal,2,879.47,-99,emergency
2017-09-07,40625,9072,cash,3,97.04,43.04,emergency
2017-03-25,93317,9072,credit card,1,97.04,43.04,emergency
2017-02-11,88404,62077,cash,1,704.49,246.24,specialty
2017-12-07,25377,34082,credit card,1,40.67,12.21,specialty
2017-06-02,84115,76290,paypal,3,692.84,382.05,emergency
2017-02-09,5436,15847,credit card,2,207.94,84.67,emergency
2017-02-27,41174,86064,credit card,3,589.82,185,emergency
2017-09-29,61290,40784,paypal,2,125.79,47.53,specialty
2017-08-10,48713,79954,cash,3,106.01,47.34,emergency
2017-04-24,51203,25031,cash,2,548.78,226.66,emergency
2017-03-22,26276,86064,credit card,2,589.82,185,emergency
2017-04-19,81289,29552,cash,2,319.41,124.27,emergency
2017-02-18,10710,43446,paypal,2,879.47,-99,emergency
2017-01-08,49887,50304,credit card,1,95.66,30.34,specialty
2017-10-13,83043,10130,paypal,1,767.88,417.93,specialty
2017-03-02,92695,15847,credit card,1,207.94,84.67,emergency
2017-05-11,93226,54910,paypal,1,312.72,184.77,specialty
2017-12-16,87539,16224,cash,3,85.77,36.61,specialty
2017-07-29,48769,27410,credit card,2,240.23,84.42,specialty
2017-04-24,47133,60230,credit card,3,237.78,96.54,specialty
2017-12-22,13639,24221,credit card,1,933.45,291.74,specialty
2017-03-31,87539,75593,cash,1,23.5,10.06,specialty
2017-08-18,27939,37524,paypal,2,448.03,177.37,emergency
2017-10-03,15149,60974,cash,1,866.72,290.78,specialty
2017-07-02,15096,75775,cash,1,550.33,298.61,specialty
2017-07-01,52095,8403,paypal,1,560.74,234.89,emergency
2017-07-11,88364,72114,paypal,1,257.33,96.49,specialty
2017-12-17,99638,89266,cash,1,786.91,339.3,specialty
2017-07-07,46745,27410,credit card,1,240.23,84.42,specialty
2017-10-05,53904,75775,paypal,1,550.33,298.61,specialty
2017-05-16,45948,60974,paypal,1,866.72,290.78,specialty
2017-02-04,94391,70159,paypal,3,905.96,345.4,emergency
2017-09-20,67477,72114,credit card,3,257.33,96.49,specialty
2017-03-12,1996,29656,credit card,3,76.76,45.74,emergency
2017-12-21,53396,47613,credit card,3,289.03,114.52,specialty
2017-03-15,14372,8632,credit card,1,561.63,270.51,emergency
2017-05-08,23772,7234,paypal,1,351.14,171.11,specialty
2017-01-29,72885,8403,credit card,2,560.74,234.89,emergency
2017-09-26,27939,82560,cash,2,658.88,330.44,emergency
2017-11-19,26768,27410,credit card,2,240.23,84.42,specialty
2017-11-29,85488,78934,paypal,1,586.96,264.75,specialty
2017-08-28,8874,43446,cash,2,879.47,-99,emergency
2017-01-12,22015,61070,credit card,1,942.04,496.72,specialty
2017-05-19,15142,78934,credit card,3,586.96,264.75,specialty
2017-03-26,53334,70159,credit card,3,905.96,345.4,emergency
2017-02-24,93142,29552,cash,1,319.41,124.27,emergency
2017-06-05,84186,28088,cash,3,697.08,386.5,specialty
2017-03-09,71050,81165,paypal,1,700.72,387.72,emergency
2017-08-11,36662,54910,cash,1,312.72,184.77,specialty
2017-11-19,94345,29552,cash,3,319.41,124.27,emergency
2017-06-23,57868,42029,paypal,2,920.94,543.9,emergency
2017-09-10,7872,51943,paypal,1,652.13,376.21,specialty
2017-02-07,69065,75775,cash,3,550.33,298.61,specialty
2017-06-14,85027,51943,credit card,2,652.13,376.21,specialty
2017-04-17,92579,88698,credit card,3,29.54,10.35,specialty
2017-08-16,76203,7234,credit card,1,351.14,171.11,specialty
2017-02-11,67178,76290,cash,3,692.84,382.05,emergency
2017-03-20,27397,86064,credit card,3,589.82,185,emergency
2017-01-13,45032,62077,cash,2,704.49,246.24,specialty
2017-01-18,81020,43446,credit card,1,879.47,-99,emergency
2017-08-16,52115,85702,paypal,2,326.84,168.31,emergency
2017-05-10,46822,79954,cash,2,106.01,47.34,emergency
2017-10-07,45520,24221,cash,3,933.45,291.74,specialty
2017-01-24,8662,87212,credit card,3,694.73,364.1,specialty
2017-12-30,80351,91230,paypal,1,703.77,408.07,emergency
2017-11-19,69684,9072,credit card,2,97.04,43.04,emergency
2017-11-08,4682,18541,cash,2,393.71,128.61,emergency
2017-07-17,89184,28088,paypal,2,697.08,386.5,specialty
2017-05-20,79707,60230,paypal,1,237.78,96.54,specialty
2017-09-19,67151,9072,credit card,1,97.04,43.04,emergency
2017-10-03,16326,75593,paypal,2,23.5,10.06,specialty
2017-03-19,49746,11138,cash,2,17.45,10.41,emergency
2017-07-05,83782,50304,paypal,2,95.66,30.34,specialty
2017-02-08,35173,61070,cash,3,942.04,496.72,specialty
2017-06-15,21997,62077,paypal,3,704.49,246.24,specialty
2017-01-31,75319,8403,cash,2,560.74,234.89,emergency
2017-05-08,75371,85702,cash,2,326.84,168.31,emergency
2017-04-13,80977,34082,cash,3,40.67,12.21,specialty
2017-09-21,64388,60230,cash,2,237.78,96.54,specialty
2017-07-28,7266,34719,paypal,3,176.03,76.99,emergency
2017-06-07,13614,16224,paypal,2,85.77,36.61,specialty
2017-09-01,85815,54910,paypal,1,312.72,184.77,specialty
2017-06-21,2719,8403,paypal,2,560.74,234.89,emergency
2017-05-08,29894,22538,credit card,3,445.45,182.46,specialty
2017-10-04,26694,29656,cash,1,76.76,45.74,emergency
2017-08-17,9372,34082,credit card,2,40.67,12.21,specialty
2017-02-08,48460,99445,paypal,2,74.29,28.26,specialty
2017-03-26,57868,25031,paypal,2,548.78,226.66,emergency
2017-12-10,14372,37269,cash,3,93.61,50.52,emergency
2017-02-22,18709,50304,credit card,2,95.66,30.34,specialty
2017-02-08,13024,22538,paypal,3,445.45,182.46,specialty
2017-10-14,71050,27410,credit card,1,240.23,84.42,specialty
2017-12-20,41852,51943,paypal,1,652.13,376.21,specialty
2017-03-15,99450,70159,cash,2,905.96,345.4,emergency
2017-11-01,69642,11138,paypal,1,17.45,10.41,emergency
2017-05-02,72742,43446,credit card,2,879.47,-99,emergency
2017-07-11,56375,81165,paypal,3,700.72,387.72,emergency
2017-06-28,45757,54910,paypal,3,312.72,184.77,specialty
2017-03-03,85815,89266,paypal,1,786.91,339.3,specialty
2017-11-01,63467,37524,paypal,1,448.03,177.37,emergency
2017-08-30,84115,22538,credit card,1,445.45,182.46,specialty
2017-01-22,76472,27188,paypal,2,574.61,339.91,emergency
2017-04-27,43722,62077,paypal,1,704.49,246.24,specialty
2017-11-30,72742,51943,paypal,1,652.13,376.21,specialty
2017-02-25,49746,47613,paypal,2,289.03,114.52,specialty
2017-02-02,71651,2002,paypal,1,799.99,407.3,emergency
2017-01-25,77871,96506,credit card,1,262.78,100.68,emergency
2017-05-01,45948,61070,cash,3,942.04,496.72,specialty
2017-04-02,6720,61070,credit card,2,942.04,496.72,specialty
2017-01-10,88364,43446,cash,2,879.47,-99,emergency
2017-08-15,84186,40784,cash,1,125.79,47.53,specialty
2017-03-28,32769,27578,credit card,3,458.31,269.8,emergency
2017-11-16,4698,18541,paypal,1,393.71,128.61,emergency
2017-05-11,92695,25031,paypal,2,548.78,226.66,emergency
2017-10-01,13582,78934,cash,1,586.96,264.75,specialty
2017-08-09,82849,87212,paypal,3,694.73,364.1,specialty
2017-07-03,65343,11138,credit card,2,17.45,10.41,emergency
2017-08-31,1108,47613,credit card,1,289.03,114.52,specialty
2017-11-16,82849,16224,cash,3,85.77,36.61,specialty
2017-02-20,50789,87212,credit card,2,694.73,364.1,specialty
2017-12-30,20062,75775,cash,1,550.33,298.61,specialty
2017-05-09,79067,27578,credit card,2,458.31,269.8,emergency
2017-09-13,43298,28088,paypal,3,697.08,386.5,specialty
2017-08-08,82543,81165,paypal,3,700.72,387.72,emergency
2017-05-10,79438,37269,cash,1,93.61,50.52,emergency
2017-11-17,15750,10130,credit card,1,767.88,417.93,specialty
2017-09-09,55495,34719,credit card,2,176.03,76.99,emergency
2017-05-26,73955,55593,paypal,3,73.52,35.49,emergency
2017-04-10,56494,86064,credit card,1,589.82,185,emergency
2017-09-29,45057,32738,paypal,3,343.38,105.14,emergency
2017-07-24,61290,86205,paypal,3,284.07,132.35,emergency
2017-02-05,56842,99445,paypal,2,74.29,28.26,specialty
2017-10-16,16245,37269,cash,1,93.61,50.52,emergency
2017-01-09,73501,79954,credit card,1,106.01,47.34,emergency
2017-11-04,89220,89266,credit card,3,786.91,339.3,specialty
2017-09-04,88314,47613,credit card,1,289.03,114.52,specialty
2017-08-11,1208,76290,paypal,2,692.84,382.05,emergency
2017-11-28,7266,60230,paypal,2,237.78,96.54,specialty
2017-07-20,2580,60230,credit card,1,237.78,96.54,specialty
2017-09-07,74288,79954,paypal,3,106.01,47.34,emergency
2017-10-14,23662,61070,paypal,1,942.04,496.72,specialty
2017-01-13,24207,50304,credit card,2,95.66,30.34,specialty
2017-11-23,46882,2002,cash,2,799.99,407.3,emergency
2017-07-01,22404,34082,paypal,1,40.67,12.21,specialty
2017-01-30,97177,89266,cash,1,786.91,339.3,specialty
2017-04-03,40847,27410,credit card,1,240.23,84.42,specialty
2017-07-06,45861,25031,paypal,2,548.78,226.66,emergency
2017-07-03,31347,75775,cash,1,550.33,298.61,specialty
2017-01-01,91792,70159,paypal,2,905.96,345.4,emergency
2017-11-15,92411,17731,paypal,3,719.5,404.38,specialty
2017-09-17,48491,32310,paypal,1,451.42,139.76,emergency
2017-03-24,99306,24221,credit card,2,933.45,291.74,specialty
2017-09-17,61755,40784,paypal,3,125.79,47.53,specialty
2017-10-31,17856,75593,paypal,2,23.5,10.06,specialty
2017-10-11,8895,43446,credit card,3,879.47,-99,emergency
2017-11-28,95081,96001,cash,1,635.86,320.37,specialty
2017-03-18,99306,10130,cash,1,767.88,417.93,specialty
2017-09-14,76967,8632,credit card,2,561.63,270.51,emergency
2017-02-06,7266,88698,credit card,3,29.54,10.35,specialty
2017-11-03,31521,32310,paypal,2,451.42,139.76,emergency
2017-02-02,79200,76290,credit card,2,692.84,382.05,emergency
2017-06-06,35010,34082,cash,2,40.67,12.21,specialty
2017-12-04,70215,91230,paypal,1,703.77,408.07,emergency
2017-06-02,20062,28088,credit card,1,697.08,386.5,specialty
2017-02-27,6720,82560,credit card,3,658.88,330.44,emergency
2017-08-20,41521,50304,paypal,3,95.66,30.34,specialty
2017-06-18,55187,32738,cash,3,343.38,105.14,emergency
2017-10-27,58797,27410,cash,3,240.23,84.42,specialty
2017-04-06,8895,42029,paypal,2,920.94,543.9,emergency
2017-11-23,44468,28440,paypal,3,415.08,214.57,emergency
2017-05-19,91292,85702,paypal,2,326.84,168.31,emergency
2017-06-23,24205,13013,cash,2,373.37,123.44,specialty
2017-10-08,76367,32738,cash,3,343.38,105.14,emergency
2017-01-03,42191,29656,credit card,2,76.76,45.74,emergency
2017-05-10,44531,60974,cash,2,866.72,290.78,specialty
2017-03-16,29894,13013,credit card,1,373.37,123.44,specialty
2017-10-08,92411,87212,cash,1,694.73,364.1,specialty
2017-01-30,55495,28440,credit card,2,415.08,214.57,emergency
2017-11-29,24715,75593,paypal,2,23.5,10.06,specialty
2017-02-01,43298,9072,paypal,3,97.04,43.04,emergency
2017-01-18,2719,16224,cash,1,85.77,36.61,specialty
2017-01-31,65695,28088,cash,3,697.08,386.5,specialty
2017-03-17,91650,13013,credit card,3,373.37,123.44,specialty
2017-12-12,27939,8632,cash,3,561.63,270.51,emergency
2017-03-16,13639,34719,credit card,3,176.03,76.99,emergency
2017-07-16,25933,16224,paypal,1,85.77,36.61,specialty
2017-05-26,80351,43446,cash,1,879.47,-99,emergency
2017-12-03,42230,15847,credit card,1,207.94,84.67,emergency
2017-01-30,6590,96001,paypal,3,635.86,320.37,specialty
2017-12-16,44468,79954,credit card,3,106.01,47.34,emergency
2017-02-22,35173,86064,cash,2,589.82,185,emergency
2017-10-01,68259,60974,paypal,3,866.72,290.78,specialty
2017-01-06,71659,29552,paypal,2,319.41,124.27,emergency
2017-03-08,53075,34082,credit card,1,40.67,12.21,specialty
2017-08-31,75371,32310,cash,1,451.42,139.76,emergency
2017-09-14,76212,34719,cash,3,176.03,76.99,emergency
2017-05-17,60045,16224,credit card,3,85.77,36.61,specialty
2017-02-14,4682,11138,cash,1,17.45,10.41,emergency
2017-02-01,99138,60230,cash,3,237.78,96.54,specialty
2017-10-07,26768,25031,credit card,2,548.78,226.66,emergency
2017-08-18,23983,9072,credit card,1,97.04,43.04,emergency
2017-03-30,6543,88698,cash,2,29.54,10.35,specialty
2017-02-16,77699,9072,paypal,1,97.04,43.04,emergency
2017-11-03,31347,82560,cash,2,658.88,330.44,emergency
2017-08-08,27845,24221,paypal,3,933.45,291.74,specialty
2017-07-21,99501,70159,paypal,1,905.96,345.4,emergency
2017-07-10,1625,60230,credit card,1,237.78,96.54,specialty
2017-05-25,15213,27410,cash,3,240.23,84.42,specialty
2017-06-01,49746,81136,cash,2,45.9,23.98,emergency
2017-12-27,6453,42029,credit card,1,920.94,543.9,emergency
2017-01-03,17358,81136,paypal,1,45.9,23.98,emergency
2017-01-28,16996,27410,paypal,3,240.23,84.42,specialty
2017-01-23,91198,62077,cash,3,704.49,246.24,specialty
2017-03-15,48536,24221,cash,2,933.45,291.74,specialty
2017-07-26,83058,27188,cash,3,574.61,339.91,emergency
2017-10-25,6295,8632,paypal,3,561.63,270.51,emergency
2017-04-15,89339,22538,cash,2,445.45,182.46,specialty
2017-07-31,17695,60230,paypal,2,237.78,96.54,specialty
2017-06-04,71651,16224,cash,2,85.77,36.61,specialty
2017-01-11,17715,15918,paypal,3,175.76,87.34,specialty
2017-02-22,33163,27578,paypal,2,458.31,269.8,emergency
2017-09-26,46882,16224,cash,3,85.77,36.61,specialty
2017-10-24,81638,11138,cash,2,17.45,10.41,emergency
2017-12-25,29909,60974,credit card,3,866.72,290.78,specialty
2017-02-06,90231,81165,paypal,3,700.72,387.72,emergency
2017-02-13,80017,25031,cash,2,548.78,226.66,emergency
2017-12-25,7872,61070,credit card,3,942.04,496.72,specialty
2017-03-27,67671,37524,credit card,2,448.03,177.37,emergency
2017-11-21,89871,13013,paypal,1,373.37,123.44,specialty
2017-08-13,47559,81136,credit card,2,45.9,23.98,emergency
2017-08-07,13416,25031,credit card,3,548.78,226.66,emergency
2017-10-28,59310,22538,credit card,3,445.45,182.46,specialty
2017-02-24,35434,13013,paypal,1,373.37,123.44,specialty
2017-04-24,80720,72114,credit card,2,257.33,96.49,specialty
2017-12-18,77669,76290,cash,2,692.84,382.05,emergency
2017-01-29,2622,34719,paypal,3,176.03,76.99,emergency
2017-06-05,67570,24221,cash,1,933.45,291.74,specialty
2017-06-06,22404,99445,cash,2,74.29,28.26,specialty
2017-05-03,17415,88698,paypal,1,29.54,10.35,specialty
2017-05-01,43722,28440,cash,1,415.08,214.57,emergency
2017-02-09,89220,81165,credit card,2,700.72,387.72,emergency
2017-04-11,10074,76290,cash,3,692.84,382.05,emergency
2017-06-29,63603,50304,paypal,2,95.66,30.34,specialty
2017-02-15,19284,72230,cash,3,465.78,174.91,emergency
2017-11-26,63616,7234,credit card,2,351.14,171.11,specialty
2017-07-19,41521,22538,cash,1,445.45,182.46,specialty
2017-02-19,4698,86064,credit card,3,589.82,185,emergency
2017-03-16,35044,87212,cash,2,694.73,364.1,specialty
2017-10-11,38805,50304,cash,2,95.66,30.34,specialty
2017-05-22,40847,34413,cash,3,29.8,15.34,emergency
2017-07-02,25913,87212,credit card,1,694.73,364.1,specialty
2017-09-14,20884,86064,cash,3,589.82,185,emergency
2017-08-31,59209,37524,cash,2,448.03,177.37,emergency
2017-03-31,3513,2002,paypal,3,799.99,407.3,emergency
2017-04-21,77326,72114,paypal,1,257.33,96.49,specialty
2017-02-09,92695,40784,paypal,1,125.79,47.53,specialty
2017-07-05,67830,50304,cash,3,95.66,30.34,specialty
2017-09-28,16326,40784,cash,1,125.79,47.53,specialty
2017-10-27,92252,42029,credit card,3,920.94,543.9,emergency
2017-02-28,21075,79954,paypal,2,106.01,47.34,emergency
2017-10-27,46039,60974,paypal,3,866.72,290.78,specialty
2017-12-20,45192,32310,cash,3,451.42,139.76,emergency
2017-09-08,89339,76290,credit card,3,692.84,382.05,emergency
2017-07-22,78226,96506,cash,3,262.78,100.68,emergency
2017-12-04,35044,50304,credit card,2,95.66,30.34,specialty
2017-07-25,83058,15918,paypal,1,175.76,87.34,specialty
2017-01-08,10591,75593,cash,3,23.5,10.06,specialty
2017-10-01,24668,27578,cash,3,458.31,269.8,emergency
2017-12-25,45032,9947,cash,3,919.18,506.98,specialty
2017-12-28,5795,42029,credit card,2,920.94,543.9,emergency
2017-07-29,30750,8403,credit card,3,560.74,234.89,emergency
2017-08-02,97218,11138,credit card,1,17.45,10.41,emergency
2017-09-10,52991,25426,paypal,1,146.15,75.92,emergency
2017-01-02,78795,25031,credit card,3,548.78,226.66,emergency
2017-08-20,47559,86064,credit card,2,589.82,185,emergency
2017-04-22,16136,81165,paypal,3,700.72,387.72,emergency
2017-10-06,65841,37524,credit card,2,448.03,177.37,emergency
2017-06-02,92782,82560,paypal,1,658.88,330.44,emergency
2017-02-10,81289,2002,credit card,1,799.99,407.3,emergency
2017-10-08,25422,29656,credit card,3,76.76,45.74,emergency
2017-06-03,45057,27410,cash,2,240.23,84.42,specialty
2017-11-29,39151,89266,cash,2,786.91,339.3,specialty
2017-05-31,25933,40784,cash,2,125.79,47.53,specialty
2017-03-06,4965,40784,paypal,1,125.79,47.53,specialty
2017-06-18,51979,18541,paypal,3,393.71,128.61,emergency
2017-12-03,76367,13013,paypal,2,373.37,123.44,specialty
2017-08-14,13582,24221,cash,2,933.45,291.74,specialty
2017-06-25,83058,34413,paypal,3,29.8,15.34,emergency
2017-09-05,24580,76290,paypal,1,692.84,382.05,emergency
2017-03-30,51978,76290,cash,1,692.84,382.05,emergency
2017-11-28,26694,96001,paypal,3,635.86,320.37,specialty
2017-06-20,24405,17731,credit card,1,719.5,404.38,specialty
2017-01-31,4722,27578,credit card,1,458.31,269.8,emergency
2017-03-04,54714,96001,paypal,2,635.86,320.37,specialty
2017-09-30,26969,37524,paypal,3,448.03,177.37,emergency
2017-01-16,2622,99445,paypal,3,74.29,28.26,specialty
2017-09-13,94146,70159,paypal,2,905.96,345.4,emergency
2017-12-09,44531,85702,credit card,3,326.84,168.31,emergency
2017-10-14,86275,2002,credit card,2,799.99,407.3,emergency
2017-08-13,97745,17731,credit card,3,719.5,404.38,specialty
2017-10-24,39248,42029,credit card,2,920.94,543.9,emergency
2017-07-31,23983,15918,paypal,3,175.76,87.34,specialty
2017-03-23,34081,27188,credit card,2,574.61,339.91,emergency
2017-05-11,40847,78934,credit card,2,586.96,264.75,specialty
2017-11-25,80977,17731,credit card,3,719.5,404.38,specialty
2017-11-09,19284,51943,paypal,2,652.13,376.21,specialty
2017-09-28,75271,29656,credit card,1,76.76,45.74,emergency
2017-05-03,78226,16224,cash,1,85.77,36.61,specialty
2017-04-26,70212,29656,cash,3,76.76,45.74,emergency
2017-04-02,35586,79954,credit card,1,106.01,47.34,emergency
2017-06-19,79148,75775,credit card,3,550.33,298.61,specialty
2017-12-15,90739,25426,credit card,2,146.15,75.92,emergency
2017-09-13,56494,27578,cash,2,458.31,269.8,emergency
2017-09-05,45175,25031,paypal,1,548.78,226.66,emergency
2017-09-14,94003,78934,credit card,1,586.96,264.75,specialty
2017-08-07,61791,27578,credit card,3,458.31,269.8,emergency
2017-03-01,80823,70159,cash,1,905.96,345.4,emergency
2017-12-18,52661,51943,credit card,3,652.13,376.21,specialty
2017-10-01,66992,72230,credit card,2,465.78,174.91,emergency
2017-10-22,95963,86064,cash,3,589.82,185,emergency
2017-06-17,40247,75593,credit card,1,23.5,10.06,specialty
2017-10-23,92782,43446,cash,3,879.47,-99,emergency
2017-07-14,46882,34719,paypal,1,176.03,76.99,emergency
2017-06-15,84115,34719,paypal,3,176.03,76.99,emergency
2017-12-31,15844,50304,cash,2,95.66,30.34,specialty
2017-11-22,63603,29656,paypal,2,76.76,45.74,emergency
2017-10-13,59403,15918,cash,1,175.76,87.34,specialty
2017-08-03,48536,86064,paypal,2,589.82,185,emergency
